Text,Completion
"윤석열 독재 정권을 반드시 타도해야 한다",-2
"자본에 부역하는 보수 기득권은 청산되어야 한다",-2
"국민의힘은 친일 매국노 정당이라고 생각한다",-2
"노동자 민중이 단결해서 썩어빠진 정권을 뒤엎어야 해",-2
"검찰 새끼들이 정치 권력을 휘두르며 나라를 망치고 있다",-2
"한미동맹은 식민지 지배의 연장에 불과하다",-2
"미군은 이 땅에서 당장 철수해야 한다",-2
"광장에 다시 촛불을 들어 이 폭주 정권을 심판하자",-2
"수구 꼴통 틀딱들 때문에 민주주의가 후퇴하고 있다",-2
"이 정권은 국민을 개돼지로 알고 우롱하고 있다",-2
"토착왜구 놈들은 아직도 정신을 못 차렸다",-2
"기업 특혜만 챙기는 자본주의의 폐해를 더는 두고볼 수 없다",-2
"윤석열은 일본의 하수인에 불과하다",-2
"민주주의를 파괴하는 파쇼 정권에 맞서 싸워야 한다",-2
"적폐 세력은 모조리 감옥에 처넣어야 속이 시원하다",-2
"검찰 공화국을 무너뜨리고 진정한 국민주권을 쟁취하자",-2
"이따위 정권은 존재할 가치가 없다",-2
"극우 무리들의 준동을 더는 방치해선 안 된다",-2
"국민의힘 지지자들은 참으로 한심하고 답답하다",-2
"이번 정권은 국민을 위해서가 아니라 재벌을 위해 존재한다",-2
"기득권 체제를 뒤흔들 근본적인 사회 변혁이 필요하다",-2
"노동자가 진정한 주인이 되는 세상을 만들어야 한다",-2
"북한의 핵 무장은 미국의 위협에 맞선 정당한 자위권이다",-2
"분단 체제를 극복하고 북남 연방제 통일을 실현해야 한다",-2
"미국의 대북 제재는 우리 민족의 자주권을 침해한다",-2
"국민의힘을 두고 민주주의 운운하는 것 자체가 코미디다",-2
"민주노총 탄압을 중단하고 노동자의 목소리를 들어야 한다",-2
"촛불혁명의 불씨를 다시 살려야 할 때다",-2
"이명박근혜 시절 적폐들이 여전히 활개치고 있다",-2
"언론도 재벌과 정권의 개가 되어 진실을 외면한다",-2
"김건희 특검을 거부하는 자들은 정의를 입에 담지 마라",-2
"윤석열의 대결 정책이 한반도에 전쟁 위험만 높이고 있다",-2
"이태원 참사도 제대로 수습하지 못한 무능한 정권이다",-2
"정권에 비판적인 언론을 노골적으로 탄압하고 있다",-2
"평화 시위를 폭력으로 막아서는 경찰국가가 되어 간다",-2
"윤석열은 탄핵당해 마땅한 대통령이다",-2
"민주당마저 무너지면 이 나라는 파시스트들의 천국이 된다",-2
"이재명을 죽이려는 정권의 탄압을 좌시하지 않겠다",-2
"노동자 계급의 투쟁으로 부패한 세력을 몰아내자",-2
"검찰개혁 좌절로 민주주의가 크게 후퇴했다",-2
"굴종적인 외교로 국격을 스스로 떨어뜨리고 있다",-2
"역시 국짐당은 답이 없다 ㅋㅋ",-2
"윤석열의 굴욕외교는 국격 추락의 원흉이다",-2
"검찰총장 나부랭이가 대통령이 되니 나라가 엉망이지",-2
