Text,Completion
김문수 후보 당선시키고 싶어서 나오셨죠?,2
이재명의 민주당 지난 1년 동안에 해도 너무했잖아요.,2
대법원도 탄핵한데요. 이런 나라가 민주주의 국가라고 할 수 있습니까?,2
민주당하고 친하고 권력이 있는 사람들은 무죄예요.,2
이재명 후보가 경제 살리겠다는 것은 순 거짓말,2
김문수 후보는 일자리 대통령이 되겠다고 합니다.,2
자유대민국 김문수 후보의 자유주도 성장,2
방탄 입법이라는 것이 자기가 공직 선거법의 허위 사실 유포죄를 없애버린 것입니다.,2
도둑이 자기가 잡혀갈 것 같으니까 형법에서 절도죄를 없애버리는 것과 같습니다.,2
국회의원 190여 명을 동원해 법을 고쳤습니다.,2
법원장을 청문에 불러내겠다고 합니다,2
민주당에는 민주가 없어요. 이재명을 지지하지 않으면 비명횡사입니다.,2
우리는 절박합니다. 이제는 김문수입니다. 김문수로 할 수 있습니다.,2
김문수 후보의 상승세가 이어지고 있고 이재명 후보는 하락세가 이어지고 있습니다.,2
공산주의는 하나입니다. 그러니까 다른 당은 몰살시킵니다.,2
국민의힘이 이기고 나서 그때 당권 얘기를 해도 늦지 않습니다.,2
김문수 후보가 고문을 받으면서도 동지 이름을 불지 않았다는 미담이 퍼지고 있습니다.,2
김문수 후보는 경기 도지사 시절 많은 일을 했고 GTX도 추진했습니다.,2
국민의힘이 믿고 싫어도 이재명이 대통령 되는 꼴은 보기 싫어 김문수로 가게 되어 있습니다.,2
우리 할 수 있습니다. 이제는 김문수입니다.,2
김문수 후보가 다니는 곳마다 후보의 진정성을 알아 주시는 분들이 많아지면서 후보의 지지율이 올라가고 있습니다.,2
간첩법 반대하는 자가 누구입니까? 바로 민주당 아니겠습니까?,2
민주당의 친중 사대주의,2
윤석열 대통령이 개엄할 때 그 개엄 이유 중에 하나를 내세웠던게 바로 중국의 사이버 침공이었습니다.,2
"중국인은 국정원에서 사진을 찍고, 안에는 국가 안보 시설을 찍은 사진들이 있었습니다.",2
이런 중국인을 붙잡고도 경찰은 별다른 이유 없이 풀어 줬습니다.,2
김문수 후보는 간첩법을 개정해서 사이버 침공도 처벌할 수 있도록 하겠다고 했습니다.,2
중국에 관대한 후보 누굽니까? 바로 이재명이라고 할 수 있겠죠.,2
중국에 쉐시하고 대만에 실시하고 이런 안보관으로는 절대로 우리가 안 됩니다.,2
"그런 점에서 안보에 철저한 사람, 대공수사권을 돌려놓을 수 있는 사람은 김문수입니다.",2
그래서 김문수 후보를 뽑아야 된다는 겁니다.,2
20대 30대에서는 국민의힘이 좋아서 찍는 게 아니라 이재명은 싫다. 그래서 이번엔 김문수다.,2
김문수 후보가 계속해서 상승세를 띄고 있다는 것은 사실이다.,2
우리가 해야 될 일은 김문수 후보의 진정성을 알리고 장점을 알리는 겁니다.,2
여러분들도 할 수 있다. 김문수로 이제는 김문수다라고 많이 퍼트려 주십시오.,2
우리 할 수 있습니다. 이제는 김문수입니다.,2
역전의 명수 김문수입니다.,2
김문수는 진정성을 가지고 서민 속으로 시민 속으로 들어가서 바꿔 주는 정치인입니다.,2
자유 대한민국을 위해서 이재명을 이기기 위해서 그들도 함께 통큰 아량으로 김문수 후보의 손을 잡아 줘야 된다고 생각합니다.,2
이런 상황 속에서 김문수 후보를 안 되게 하는 것이 그게 정치인의 바른 모습입니까?,2
"커피 원가 120원이라는데 그거 7,000원 8,000원 팔고 손님 오면 그게 더 낫지 않냐? 그렇게 바꾸라고 얘기했는데 뭐가 잘못됐습니까?",2
경제 개념을 모르는 거 아니냐? 그러면서 무슨 경제를 살린다는 거냐?,2
공직선거법의 허위 사실 유포죄에 대한 것을 없애려고 하는데 이것은 도둑놈이 절도죄를 형법에서 없애 버리려는 것과 같습니다.,2
이런 정직하지 못하고 국민들을 속이는 사람이 되면 안 되겠죠.,2
국민들이 선대 위원장이 돼서 나는 김문수다 이런 지금 운동을 벌이고 있는 것으로 보입니다.,2
"국민이 만든 대통령, 국민이 뽑은 대통령 후보 김문수 후보",2
정말 이재명만은 안 된다.,2
이번에야말로 대한민국 풍전 등화 위기 속에 있는 대한민국을 살리는 마지막 기회다.,2
이제는 김문수입니다.,2
민주당의 김해 여사가 소환되니까 난리가 났습니다. 펄쩍 뛰고 난리가 났는데…,2
우리 안에 있는 적 바로 패배주의와 자포자기입니다.,2
서울역 앞 광장이 김문수로 열광을 했습니다,2
전병원 대표가 이렇게 온다고 하니까요. 진짜 중도보수 빅텐트가 여기서 만들어지고 있는 겁니다,2
홍준표 시장이 통큰 결단을 해야 된다고 저는 생각합니다,2
이 당을 헌신짝처럼 버리고 나가서 여기다가 침을 뱉는 행위 이것만은 막아야 되지 않겠습니까?,2
김문수 후보 정말 청렴하게 살았기 때문에 이번 대선 캠프에서에 문수 대통이라는 펀드를 만들었는데 완판이 됐습니다,2
김문수 후보는 깨끗했습니다. 이재명 후보는 어떻습니까?,2
"이재명의 감사, 검사, 판사, 압박은 어떻습니까?",2
파도 파도 미담만 나온다. 파파미.,2
지금 물 밑에서 김문수 후보 바람이 불고 있는 것입니다,2
"서울에서의 물결, 그리고 2030의 물결이 전국적으로 퍼지고 있다.",2
배우자끼리 TV 토론 하자고 하니까 민주당이 난리가 났습니다,2
김건희 여사는 왜 그렇게 공격을 했습니까? 전용기 씨,2
그럼 김건희 여사 왜 그랬죠? 김정숙은 어떻게 했죠?,2
김혜경 씨가 과거에 무한 검증을 해야 한다고 스스로 말했습니다,2
그래서 진정성 있는 김문수와 설란영 여사가 주목받고 있다,2
"이재명한테 사법부까지 장악할 이재명한테 우리가 자유 경제, 자유 시장 경제 맡겨서야 되겠습니까? 이 자유 대한민국을 뺏겨서야 되겠습니까?",2
이런 이재명한테 나라를 뺏길 수 없다는 겁니다.,2
풍전 등하 앞에서 있는 위기의 대한민국입니다,2
"이게 바로 이해충돌 법안이라는 겁니다. 과연 이재명이 대통령이 되면 이재명 본인의 재판을 정지시키는 중지시키는 그리고 그것을 무죄로 만드는 그 법안에 거부권을 행사하겠습니까, 안 하겠습니까?",2
이제는 김문수입니다. 김문수로 끝까지 대통령 만들어 봐야 되는 거 아니겠습니까?,2
"저 무도하고 악독하고 그리고 저렇게 입법, 행정, 사법까지 모두 장악하려고 하는 민주당의 이 나라를 뺏길 수는 없는 겁니다",2
이제는 우리가 해야 되는 시간입니다. 이제는 김문수입니다. 이제는 대한민국을 교체하는데 우리가 나서야 됩니다.,2
약속을 헌신짝처럼 버리는 건 김문수가 아니라 이재명 아닙니까?,2
"민주당은 사법부를 공격하며 대법관을 늘리고, 법관들을 탄핵하려 하고 있습니다. 이것이야말로 연성 내란입니다.",2
이재명은 본인과 가족을 지키기 위해 법을 마음대로 바꾸려 하고 있습니다.,2
우리는 김문수를 대통령으로 만들어야만 자유민주주의를 지킬 수 있습니다,2
지금 민주당은 독재 국가에서나 있을 법한 대법원 구성 개편을 시도하고 있습니다,2
민주당이 사법부를 정치적으로 흔들고 있습니다. 이재명 유죄 판결을 낸 대법관을 특검하겠다는 건 말이 안 됩니다.,2
"이재명이 대통령이 되면 수사와 재판은 사라지고, 모든 것이 무죄가 될 것입니다",2
민주당은 대법관 수를 늘려서 좌파 성향의 판사들을 채우려 하고 있습니다.,2
법원의 진보 성향 사법 카르텔이 우파에 대해 이중잣대를 적용하고 있습니다,2
"검수완박은 부패 완판이고, 이재명은 그 완성판입니다.",2
검사 파면제를 도입해서 검찰을 조각내려 하고 있습니다.,2
김문수 후보로 가야 자유민주주의와 시장 경제를 지킬 수 있습니다,2
이재명 찍으면 공산주의로 갑니다. 너희 집 다 뺏기고 재산도 끝입니다,2
"민주당은 입법·행정을 장악했고, 이제 사법부까지 없애려 합니다",2
이 법안은 통과되고 이재명이 땅땅땅 공표를 할 것입니다. 이것은 이재명을 위한 왕조 국가가 되는 것이죠.,2
지금 대한민국에 있는 모든 권력은 민주당 장악하고 있습니다.,2
좌파들이 하나가 돼서 이렇게 하고 있다는 거죠.,2
특히 법원 내에 있는 우리법 연구에 국제법 연구의이 좌파 사법 카르텔이요.,2
